Category,Total,Space_Heating,Cooling,Ventilation,Water_Heating,Lighting,Cooking,Refrigeration,Office_Equipment,Computing,Other
Education,62.7,27.6,7.3,4.8,3.7,5.5,3.3,1.8,0.5,2.4,8.8
Food sales,232,36.6,7.1,13.1,Q,13.1,32.1,87.1,0.7,Q,Q
Food service,263.3,35.6,19.1,16.6,19.4,10.8,109.7,40.6,1.2,0.9,20.6
Health care,144.5,44.8,9.8,24.4,9.2,12.2,17,3.1,1.1,5.8,25.5
Inpatient,193.3,62.6,13.8,28.6,14.6,11.9,18.8,4,1.2,7.2,33.9
Outpatient,82,21.8,4.9,19.1,2.2,12.5,5.4,1.9,1,3.9,14.6
Lodging,85.7,15.7,6,12.5,16.5,7.2,14.1,4.2,0.4,1.2,12.4
Mercantile,88.4,22.8,6.7,10.8,6,13.1,16.8,7.5,0.7,2,11.7
Retail (other than mall),64.1,16.5,6.4,11.7,0.9,12,9.7,3.7,0.4,1.2,10.3
Enclosed and strip malls,111,28.5,7.1,10.1,10.2,14.1,19.6,10.5,0.9,2.7,12.9
Office,65.6,20.1,5.1,12.9,1,7.8,2.6,1.6,0.8,5.2,11.4
Public assembly,81.1,41.4,15.8,4,0.8,5.1,5.6,3,0.4,1,12.3
Public order and safety,86.3,30.2,9.2,6.1,10.7,11.5,4.5,2,0.6,2.7,11.7
Religious worship,35.3,17.8,4,2.9,0.8,3.4,4.8,1.1,0.3,0.3,3.4
Service,51.2,33.7,5,3,Q,7.9,1.9,1.1,0.4,0.8,7.4
Warehouse and storage,32.3,15.8,3.9,1.7,0.5,5.1,0.5,3.3,0.1,0.6,6.8
Other,136.4,39.5,13.7,7.3,0.8,12.7,6,2.3,0.5,33.2,36.2
Vacant,21.7,17.6,5.4,1.2,Q,2.6,Q,0.5,Q,0.6,5.9
