Category,Total,Space_Heating,Cooling,Ventilation,Water_Heating,Lighting,Cooking,Refrigeration,Office_Equipment,Computing,Other
"1,001 to 5,000 ",77,27,9.9,6.3,5.2,7.1,37.7,13.6,1.1,2.2,11.8
"5,001 to 10,000 ",61.9,22.8,7.8,5.1,3.3,6.2,26.5,8.5,0.6,1.5,9
"10,001 to 25,000",59.5,23.6,6.2,5,2.8,6.1,10.1,4.2,0.6,3.1,10.4
"25,001 to 50,000",68.9,25.6,7.1,6.7,4.3,7.8,7.8,4.7,0.4,1.9,10.8
"50,001 to 100,000 ",70.4,24.9,6.7,7.7,4.5,7.6,8.2,4.2,0.4,2.3,10.7
"100,001 to 200,000 ",73.9,23.8,6.5,9.4,3.7,8.4,8.2,3.6,0.6,3.6,11.6
"200,001 to 500,000 ",85.4,28.1,7.1,11.1,4.1,8.6,9.2,2.9,0.5,5.8,14.4
"Over 500,000 ",83.7,24.8,6,13.4,4.4,8.6,10.7,2.3,0.4,4.2,13.3
Education,62.7,27.6,7.3,4.8,3.7,5.5,3.3,1.8,0.5,2.4,8.8
Food sales ,232,36.6,7.1,13.1,Q,13.1,32.1,87.1,0.7,Q,Q
Food service ,263.3,35.6,19.1,16.6,19.4,10.8,109.7,40.6,1.2,0.9,20.6
Health care ,144.5,44.8,9.8,24.4,9.2,12.2,17,3.1,1.1,5.8,25.5
Inpatient ,193.3,62.6,13.8,28.6,14.6,11.9,18.8,4,1.2,7.2,33.9
Outpatient ,82,21.8,4.9,19.1,2.2,12.5,5.4,1.9,1,3.9,14.6
Lodging ,85.7,15.7,6,12.5,16.5,7.2,14.1,4.2,0.4,1.2,12.4
Mercantile ,88.4,22.8,6.7,10.8,6,13.1,16.8,7.5,0.7,2,11.7
Retail (other than mall) ,64.1,16.5,6.4,11.7,0.9,12,9.7,3.7,0.4,1.2,10.3
Enclosed and strip malls ,111,28.5,7.1,10.1,10.2,14.1,19.6,10.5,0.9,2.7,12.9
Office ,65.6,20.1,5.1,12.9,1,7.8,2.6,1.6,0.8,5.2,11.4
Public assembly ,81.1,41.4,15.8,4,0.8,5.1,5.6,3,0.4,1,12.3
Public order and safety ,86.3,30.2,9.2,6.1,10.7,11.5,4.5,2,0.6,2.7,11.7
Religious worship ,35.3,17.8,4,2.9,0.8,3.4,4.8,1.1,0.3,0.3,3.4
Service ,51.2,33.7,5,3,Q,7.9,1.9,1.1,0.4,0.8,7.4
Warehouse and storage ,32.3,15.8,3.9,1.7,0.5,5.1,0.5,3.3,0.1,0.6,6.8
Other ,136.4,39.5,13.7,7.3,0.8,12.7,6,2.3,0.5,33.2,36.2
Vacant ,21.7,17.6,5.4,1.2,Q,2.6,Q,0.5,Q,0.6,5.9
Before 1920,65.2,31,4.8,6,2.5,5.8,10.4,2.8,0.5,Q,9.1
1920 to 1945,71.8,30.2,7,8.8,2.7,6.8,8.6,3.9,0.5,4.5,9.1
1946 to 1959,65.2,28.7,6,5.3,3.8,6.1,7.8,3.3,0.5,1.9,9.2
1960 to 1969,74.5,29.1,7.2,7.2,4.8,7.4,10,4.5,0.6,2,11.1
1970 to 1979,70.2,25.5,6.9,7.9,4,7.9,12.1,5,0.5,2.6,10.7
1980 to 1989,72.4,21.1,6.4,8.9,4.8,7.6,13.4,4.7,0.6,4.6,12
1990 to 1999,63.6,21.6,6.8,7.9,3.3,7.4,9.3,4.4,0.5,2.1,10.4
2000 to 2009,80.7,25.9,8,8.9,4,8.4,13.5,5.7,0.5,3.5,13.5
2010 to 2018,72.1,21.2,7.2,8.2,4.1,7.7,12.9,5.6,0.6,3.2,13.3
Northeast,77.5,32.8,4.4,8.4,3.7,8.1,8.1,3.8,0.5,3.5,11.8
New England ,74.1,33.7,3.2,7.9,4.2,7.3,9,5.4,0.5,2.1,12.7
Middle Atlantic,78.6,32.6,4.7,8.6,3.6,8.3,7.9,3.3,0.5,3.9,11.6
Midwest,75.7,34.4,4.6,7.6,3.4,7.1,9.8,4.7,0.5,3.1,11.1
East North Central,79.1,36,4.8,7.9,3.8,7.2,11.3,5.5,0.5,2.7,10.7
West North Central,68.5,30.9,4.2,7,2.4,6.8,6.5,3.2,0.5,4,11.9
South,68.3,17.6,10.8,7.9,4,7.7,11.4,4.6,0.6,2.7,11.6
South Atlantic ,69.4,17.4,10.9,8.4,4.1,8,11.8,4.6,0.6,2.6,12.3
East South Central,67.7,21.4,8.9,7.2,3.2,7.7,12,4.5,0.6,2.5,10.6
West South Central,66.9,16.1,11.6,7.5,4.1,7.4,10.7,4.8,0.6,2.8,11.2
West,66.9,18.7,4.9,8.1,5,7.3,16.9,5.9,0.6,3.7,11
Mountain,77,24.4,5.1,8.5,5.2,7.5,18.9,6.1,0.5,4.4,9.8
Pacific,60.5,14.7,4.7,7.8,4.9,7.2,15.2,5.7,0.7,3.2,11.7
Cold or very cold,78,36.1,2.3,7.4,2.8,6.6,8.5,6.2,0.5,4.6,13.7
Cool,74.8,33.3,3.6,7.7,3.7,7.4,10.8,4.6,0.5,3,10.8
Mixed mild,77.3,29.3,6.2,8.7,4.1,7.9,9.6,3.9,0.5,3.5,11.8
Warm,66.1,16.5,8.6,7.8,4.4,7.6,14.5,5.2,0.6,2.6,11.2
Hot or very hot,60.3,6.3,14.2,7.6,3.8,7.5,12.8,5.3,0.6,2.9,11
1,67.6,23.8,7.8,6.1,3.5,7.6,16.7,7,0.5,2.4,10.5
2,62.1,23.1,6.1,6.3,3.3,7.1,8.1,3.8,0.5,2.1,9.4
3,71.5,27,6.5,7.9,3.5,7.3,6.8,3.5,0.5,3.4,11.2
4 to 9,90.9,30.3,6.9,12.1,6.1,8.1,8.5,2.6,0.6,5,16.4
10 or more,93.9,24.5,6,17.6,5.6,7.7,11.8,2.2,0.7,7,14.5
Any elevators,81.3,26.9,6.8,11.1,4.5,7.7,8,2.6,0.6,4.6,13.5
1 elevator,65.5,26.3,6.1,7.1,3,6.6,5,2.8,0.5,2.6,9.9
2 to 5 elevators,83.7,25.6,7.3,11.5,5.2,8.3,7.2,2.6,0.6,6,14.8
6 or more elevators,102.6,29.7,7.3,17,5.9,8.6,11.9,2.4,0.7,5.6,17.2
Any escalators,86.4,24.4,6.5,13.3,4.8,8.5,11.3,2.7,0.5,4.8,12.8
Fewer than 5,45.5,21.6,7.3,3.2,2.4,4.6,6.9,5.3,0.4,1.8,8.4
